"Department","Category","Subcategory","Item"
"Store Dept.","Dress & Cloth","Caps","BLUE CAP MCKV NEW"
"Store Dept.","Printing & Stationary","Files & Folders","BLUE FILE"
"","File and Folder",,"BLUE FILES"
"Store Dept.","Flag and Banner","Houses","BLUE HOUSE FLAG (BIG)"
"Store Dept.","Flag and Banner","Houses","BLUE HOUSE FLAG (SMALL)"
"","Office Stationery",,"BOARD CLIP (BIG)"
"","Office Stationery",,"BOARD MARKER PEN (BLACK)"
"","Office Stationery",,"BOARD MARKER PEN (GREEN)"
"","Office Stationery",,"BOARD MARKER PEN (RED)"
"Store Dept.","Printing & Stationary","Pins & Clips","BOARD PINS (COLOUR)"
"Store Dept.","Printing & Stationary","Pins & Clips","BOARD PINS (PLAIN)"
"","Accessories",,"BOBBIN"
"","Accessories",,"BOBBIN CASE"
"Store Dept.","Madhusthali","Madhusthali items","BODY MEASUREMENT FROM (AS)"
"","Gift",,"BOOK (spiritual living)"
"Store Dept.","Stationary","Saleable","BOOK COVER (BIG)"
"Store Dept.","Stationary","Saleable","BOOK COVER (MEDIUM)"
"Store Dept.","Stationary","Saleable","BOOK COVER (SMALL)"
"","Decoration",,"BOTAM"
"Store Dept.","Decoration","General","BOW"
"Maintenance Dept.","Plumbing","Screw","Brash Screw"
"Maintenance Dept.","Electrical","Switches & Holders","Brass Holder"
"","Accessories",,"BRASS PLATE"
"Store Dept.","House Keeping","Cleaning","BRASSO"
"Store Dept.","Printing & Stationary","Classrooms","BROWN BOARD  ( HARD)"
"Store Dept.","Madhusthali","Madhusthali items","BROWN ENVELOP BIG (M.V. COLLEGE)"
"Store Dept.","Madhusthali","Madhusthali items","BROWN ENVELOP SMALL (M.V. COLLEGE)"
"Store Dept.","Printing & Stationary","Office Stationeries","BROWN ENVELOPE (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","BROWN ENVELOPE (SMALL)"
"Store Dept.","Madhusthali","Madhusthali items","BROWN ENVELOPE BIG (MV)"
"Store Dept.","Madhusthali","Madhusthali items","BROWN ENVELOPE SMALL (M.V.)"
"Store Dept.","Dress & Cloth","Jackets","BROWN JACKET (SPORTS)"
"","Accessories",,"BROWN PAKETS"
"Store Dept.","Printing & Stationary","Paper","BROWN PAPER"
"Store Dept.","Printing & Stationary","Tapes","BROWN TAPE 2"""
"Store Dept.","Printing & Stationary","Tapes","BROWN TAPE 3"""
"","Office Stationery",,"BRUSH (SALE ITEM)"
"Store Dept.","Decoration","General","BRUSH FLAT"
"Store Dept.","Decoration","General","BRUSH ROUND"
"Maintenance Dept.","House Keeping","Cleaning","BUCKET (PLASTIC)"
"","Gift",,"BUDDHA  MURTI"
"Maintenance Dept.","Electrical","Bulbs","BULB 100 W"
"Maintenance Dept.","Electrical","Bulbs","BULB 200 W"
"Maintenance Dept.","Electrical","Bulbs","BULB 60 W"
"","Electrical",,"BULB HOLDER"
"Store Dept.","Flag and Banner","General","BURNING CRACKERS"
"","Plumbing",,"C. P. WALL FLENCH"
"Maintenance Dept.","Plumbing","CP'S","C. P. Waste (H. T.)"
"Maintenance Dept.","Electrical","Elbows","C.Clamps"
"Maintenance Dept.","Plumbing","C.I Pipe OIffset","C.I Pipe Offset"
"Maintenance Dept.","Plumbing","CP'S","C.P. WASTE (F.T.)"
"Maintenance Dept.","Electrical","Cables & Wires","Cable Clips (20MM)"
"Maintenance Dept.","Electrical","Cables & Wires","Cable Clips (25MM)"
"Maintenance Dept.","Electrical","Cables & Wires","Cable Clips (40MM)"
"Store Dept.","Food & Beverage","Staff welfare","CADBURY (CELEBRATION)"
